character	initial	final	tone	roman	emc-entry
㑹		uj	2	uj	0
㑺	ṭ	on	2	ṭon	0
㑻	qm	an	3	qmat	1
㑼	l	ơg	3	lơk	0
㑽	d	og	0	dòg	0
㑾		iv	0	ìv	0
㑿	ḍ	av	2	ḍav	1
㒀	ḍ	ag	3	ḍak	0
㒁		y	1	ý	0
㒂	ṭ	ơg	3	ṭơk	0
㒃		ej	2	ej	0
㒄	ṇ	in	1	ṇín	2
㒅	kx	rj	1	kxắj	1
㒆	kx	rm	3	kxӑp	0
㒇	m	u	1	mú	1
㒈	x	am	2	xam	1
㒉	ṭx	og	1	ṭxóg	0
㒊	ṣ	am	3	ṣap	1
㒋	s	i	0	sì	1
㒌	c	ig	0	cìg	1
㒍	l	ơj	0	lờj	0
㒎	ṣ	am	3	ṣap	0
㒏	h	on	0	hòn	0
㒐	ṣ	on	1	ṣón	0
㒑	f	uj	1	fúj	0
㒒	b	ug	3	buk	0
㒓	tx	an	3	txat	1
㒔	ẓ	ug	3	ẓuk	2
㒕	q	og	0	qòg	0
㒖	g	rv	1	gắv	0
㒗	d	oj	0	dòj	0
㒘	ẓ	y	2	ẓy	0
㒙	m	in	0	mìn	0
㒚	qj	rn	2	qjӑn	2
㒛	d	iv	1	dív	0
㒜		y	1	ý	0
㒝	m	in	3	mit	2
㒞	v	ej	2	vej	0
㒟	n	iv	1	nív	1
㒠	h	aj	2	haj	1
㒡	j	rv	0	jằv	0
㒢	j	og	3	jok	0
㒣	q	ig	2	qig	0
㒤	ṭx	im	3	ṭxip	0
㒥	fx	ug	0	fxùg	1
㒦	l	ơj	1	lớj	0
㒧	l	rj	2	lӑj	0
㒨	s	in	0	sìn	1
㒩	ql	o	1	qló	0
㒪	ṣ	eg	3	ṣek	0
㒫	k	ej	2	kej	0
㒬	qv	og	0	qvòg	0
㒭	kxv	rn	0	kxvằn	0
㒮	f	uj	0	fùj	0
㒯		im	3	ip	0
㒰	ḍ	yn	0	ḍỳn	0
㒱	ḍ	ig	3	ḍik	0
㒲	ḍ	oj	0	ḍòj	0
㒳	l	ơg	1	lớg	1
㒴	kv	rn	3	kvӑt	1
㒵	m	av	2	mav	0
㒶	k	ug	0	kùg	0
㒷	x	ig	0	xìg	0
㒸	z	uj	2	zuj	1
㒹	t	in	0	tìn	1
㒺	m	og	1	móg	0
㒻	m	u	2	mu	0
㒼	m	un	0	mùn	1
㒼	m	rg	0	mằg	1
㒽	x	yn	0	xỳn	1
㒾	ṭx	i	2	ṭxi	2
㒿	l	ej	0	lèj	0
㓀	p	ug	3	puk	0
㓁	m	og	1	móg	0
㓂	kx	rv	2	kxӑv	0
㓃	t	u	2	tu	2
㓄	ṭ	rm	2	ṭӑm	1
㓅	tx	ig	0	txìg	0
㓆	l	on	0	lòn	0
㓇	qj	ug	3	qjuk	0
㓈	p	ig	2	pig	0
㓉		un	3	ut	0
㓊	d	ug	2	dug	1
㓋	c	ug	2	cug	0
㓌	ṭx	rg	0	ṭxằg	0
㓍	ṭx	ug	0	ṭxùg	0
㓎	ṭx	rm	0	ṭxằm	0
㓏	kv	ig	1	kvíg	0
㓐	l	ug	3	luk	0
㓑		ig	2	ig	0
㓒	ṭx	rn	3	ṭxӑt	0
㓓	n	am	0	nàm	0
㓔	ḍ	e	2	ḍe	0
㓕	m	in	3	mit	0
㓖	p	rn	3	pӑt	1
㓗	k	in	3	kit	0
㓘	ṣ	ug	3	ṣuk	0
㓙	x	ug	0	xùg	0
㓚	k	ug	0	kùg	1
㓛	k	ug	0	kùg	0
㓜	qj	rv	2	qjӑv	0
㓝	h	ig	0	hìg	1
㓞	kx	in	3	kxit	0
㓟	px	rj	0	pxằj	0
㓠	t	im	2	tim	1
㓡	f	u	1	fú	0
㓢	l	og	3	lok	1
㓣	x	rm	3	xӑp	1
㓤	k	rn	3	kӑt	1
㓤	kx	in	3	kxit	1
㓦	qm	ag	3	qmak	0
㓦	p	ag	3	pak	0
㓧	k	rm	0	kằm	0
㓨	ṭx	ej	2	ṭxej	0
㓨	ṭx	ig	3	ṭxik	0
㓩	x	yn	0	xỳn	0
㓪	l	og	1	lóg	0
㓫	f	u	0	fù	0
㓬	f	u	0	fù	0
㓭	x	on	3	xot	0
㓮	t	iv	0	tìv	0
㓯	l	ej	0	lèj	0
㓰	v	ag	3	vak	0
㓱	d	rv	0	dằv	1
㓲	px	in	0	pxìn	0
㓳	t	rj	0	tằj	1
㓴		yn	1	ýn	0
㓵	g	og	3	gok	0
㓶	kx	in	3	kxit	0
㓷	g	ej	2	gej	1
㓸	ṭ	ơg	3	ṭơk	0
㓹	j	oj	2	joj	1
㓺	c	in	0	cìn	1
㓻	k	og	0	kòg	1
㓼	ṭx	rn	3	ṭxӑt	2
㓽	ẓ	ug	0	ẓùg	2
㓾	ṣ	rj	0	ṣằj	0
㓿	ṣ	y	1	ṣý	0
㔀	c	ig	0	cìg	0
㔁	t	rg	0	tằg	0
㔂	l	on	0	lòn	1
㔃	ḍ	yn	3	ḍyt	0
㔄	s	ug	3	suk	1
㔅	ṣ	iv	2	ṣiv	0
㔆	đ	am	1	đám	1
㔇	px	un	3	pxut	0
㔈	w	ej	2	wej	0
㔊	ṭ	in	1	ṭín	1
㔋	k	am	2	kam	4
㔌	đ	rv	2	đӑv	2
㔍	ṭx	an	3	ṭxat	2
㔎	s	in	3	sit	2
㔏	l	ig	3	lik	1
㔐	ṭx	im	0	ṭxìm	0
㔑	ṭx	rn	3	ṭxӑt	0
㔒	cv	ej	0	cvèj	1
㔓	k	in	1	kín	1
㔔	k	a	0	kà	0
㔕	c	rn	3	cӑt	0
㔖	k	a	0	kà	0
㔗	w	rj	2	wӑj	1
㔘	ṭx	on	3	ṭxot	0
㔙	px	ag	0	pxàg	1
㔚	x	rv	1	xắv	0
㔛	kx	in	3	kxit	0
㔜	b	un	3	but	0
㔝	l	ơg	1	lớg	1
㔞	kv	aj	0	kvàj	1
㔟	ṣ	rj	2	ṣӑj	0
㔠	h	rn	3	hӑt	1
㔡	p	in	3	pit	1
㔢	t	yn	3	tyt	1
㔣	l	uj	2	luj	2
㔤	ṣ	rn	2	ṣӑn	0
㔥	b	a	2	ba	1
㔦	j	og	1	jóg	0
㔧	l	ơj	2	lơj	0
㔨	p	uj	2	puj	0
㔩	q	om	3	qop	1
㔩	h	om	3	hop	1
㔪	l	u	1	lú	1
㔫	l	ug	0	lùg	0
㔬	ṭx	ơg	3	ṭxơk	0
㔭	ḍ	ej	0	ḍèj	0
㔮	n	o	0	nò	1
㔯	z	yn	0	zỳn	1
㔰	h	rg	0	hằg	0
㔱		y	0	ỳ	0
㔲	kv	i	1	kví	1
㔳	kv	ej	1	kvéj	0
㔴		ig	3	ik	1
㔵	ṣ	yn	1	ṣýn	0
㔶	k	ug	2	kug	2
㔷	l	rv	2	lӑv	0
㔸	tx	rj	0	txằj	1
㔹	l	rg	3	lӑk	1
㔺	ṣ	rj	2	ṣӑj	0
㔻	px	i	0	pxì	1
㔼	ṣ	on	1	ṣón	0
㔽	j	rv	1	jắv	0
㔾	ṭx	im	0	ṭxìm	0
㔿	ṭ	rv	2	ṭӑv	0
㕀	qv	ej	2	qvej	0
㕁	kx	ơg	3	kxơk	0
㕂	j	rm	0	jằm	0
㕃	kx	rj	0	kxằj	0
㕄	ṭ	ej	1	ṭéj	0
㕅	k	am	3	kap	0
㕆	h	u	2	hu	2
㕇	l	am	3	lap	1
㕈	q	ej	1	qéj	2
㕉	h	rm	3	hӑp	0
㕊	p	u	0	pù	1
㕋	c	rm	0	cằm	1
㕌	g	oj	2	goj	0
㕍	t	ơj	0	tờj	0
㕎	h	om	3	hop	1
㕏	ḍ	y	0	ḍỳ	0
㕐	ṣ	e	1	ṣé	0
㕑	ḍ	y	0	ḍỳ	0
㕑	ḍ	ơj	0	ḍờj	0
㕒	g	rj	0	gằj	1
㕓	ḍ	in	0	ḍìn	0
㕔	tx	eg	0	txèg	0
㕔	tx	ig	0	txìg	0
㕕	v	an	2	van	0
㕖	ṣ	u	2	ṣu	0
㕗	j	rv	1	jắv	0
㕘	ṭx	am	0	ṭxàm	0
㕘	ṣ	am	0	ṣàm	0
㕘	ṣ	am	2	ṣam	0
㕘	ṣ	rm	0	ṣằm	0
㕘	ṭx	rm	0	ṭxằm	0
㕙	ŧ	on	2	ŧon	2
㕚	ṭ	av	1	ṭáv	1
㕛	j	rv	1	jắv	1
㕜	ṣ	ej	1	ṣéj	0
㕝	ẓ	ej	2	ẓej	0
㕞	ṭx	an	3	ṭxat	1
㕟	qv	ej	1	qvéj	1
㕠	ṣ	ơg	0	ṣờg	0
㕠	ṣ	ug	0	ṣùg	0
㕡	kx	og	3	kxok	1
㕢	h	aj	2	haj	2
㕣		in	1	ín	1
㕤	c	rv	0	cằv	0
㕥		ej	1	éj	0
㕦	hv	a	2	hva	1
㕧	ṣ	i	0	ṣì	1
㕨	w	an	2	wan	0
㕩	px	og	2	pxog	0
㕪	t	rm	1	tắm	0
㕫	f	ug	0	fùg	0
㕬	ṭ	ug	0	ṭùg	1
㕭	q	av	2	qav	1
㕭	q	iv	0	qìv	1
㕭	qj	av	0	qjàv	1
㕮	f	u	1	fú	2
㕯	n	on	3	not	3
㕰	x	og	3	xok	1
㕱	j	rv	0	jằv	0
㕲	qm	ug	3	qmuk	0
㕳	x	ug	0	xùg	0
㕴	ṣ	rm	1	ṣắm	0
㕵	kv	og	3	kvok	0
㕶	g		2	g	0
㕶	g		0	g̀	0
㕷	qv	ag	3	qvak	0
㕸	ql	rm	3	qlӑp	0
㕹	w	rn	3	wӑt	0
㕺	x	iv	0	xìv	0
㕻	tx	rv	2	txӑv	0
㕼	x	ug	0	xùg	0
㕽	ḍ	ej	1	ḍéj	0
㕾	ṣ	iv	1	ṣív	0
㕿	v	o	0	vò	0
㖀	l	on	3	lot	0
㖁	l	on	2	lon	0
㖂	j	rj	2	jӑj	0
㖃	x	rv	1	xắv	3
㖄	ṭ	rv	0	ṭằv	0
㖅	s	on	3	sot	1
㖆	kx	ug	3	kxuk	0
㖇		ej	0	èj	0
㖈	l	u	1	lú	0
㖉	c	ej	1	céj	0
㖋	k	aj	2	kaj	0
㖌	ẓ	rv	0	ẓằv	0
㖍	t	rv	1	tắv	0
㖎	k	aj	2	kaj	0
㖏	n	in	3	nit	1
㖐	v	ej	1	véj	0
㖑	x	aj	2	xaj	1
㖒	d	rj	0	dằj	1
㖓	h	ug	0	hùg	0
㖔	tx	rn	2	txӑn	0
㖕	ṣ	rn	0	ṣằn	0
㖖	g	on	3	got	0
㖗	j	rm	0	jằm	0
㖘	ṣ	on	1	ṣón	1
㖘	ṣ	rn	1	ṣắn	1
㖙	k	a	0	kà	0
㖚	w	u	2	wu	0
㖛	k	u	1	kú	0
㖜	q	ig	0	qìg	0
㖝	m	ej	2	mej	0
㖟	ẓ	rv	2	ẓӑv	1
㖠	n	a	1	ná	0
㖡	j	e	2	je	0
㖡		e	2	e	0
㖢	ṭx	ej	0	ṭxèj	0
㖣	tx	rv	2	txӑv	0
㖤	h	am	0	hàm	0
㖥	ql	on	0	qlòn	1
㖦	t	ug	1	túg	0
㖧	f	rn	0	fằn	0
㖧	m	rn	1	mắn	0
㖨	l	ug	3	luk	0
㖩	ŧ	y	0	ŧỳ	1
㖪	v	ag	3	vak	1
㖫	l	ig	0	lìg	0
㖬	ṣ	rv	0	ṣằv	0
㖭	tx	im	0	txìm	0
㖮	l	on	0	lòn	0
㖯	d	ug	0	dùg	0
㖰	d	ug	0	dùg	0
㖱	j	e	2	je	0
㖲		y	0	ỳ	0
㖳		y	1	ý	0
㖴	m	rn	1	mắn	0
㖵	k	on	3	kot	0
㖶	q	in	0	qìn	0
㖷	ẓ	i	0	ẓì	1
㖸	ql	a	0	qlà	0
㖹	px	rn	2	pxӑn	0
㖺	ṭx	on	1	ṭxón	0
㖻	n	rv	0	nằv	0
㖼	m	rv	0	mằv	0
㖽	ṭ	ag	3	ṭak	0
㖾	g	og	3	gok	0
㖿	j	e	1	jé	0
㗀	qj	rv	0	qjằv	0
㗁	g	og	3	gok	1
㗂	ṣ	ag	1	ṣág	0
㗃	m	rn	1	mắn	0
㗄	kx	u	0	kxù	0
㗅		u	0	ù	0
㗆	k	ag	3	kak	0
㗇	x	a	0	xà	0
㗇	ch	a	1	chá	0
㗈	m	an	2	man	0
㗉	l	ơg	3	lơk	1
㗊	l	ơj	0	lờj	1
㗋	h	rv	0	hằv	0
㗌	ṭ	rn	3	ṭӑt	0
㗍	ṭ	aj	0	ṭàj	0
㗎	k	a	2	ka	0
㗎	ch	a	0	chà	0
㗎	k	a	1	ká	0
㗏	qv	aj	0	qvàj	0
㗐	x	am	3	xap	0
㗑	p	aj	2	paj	0
㗒	q	oj	0	qòj	0
㗓	ṭ	ơj	0	ṭờj	0
㗔	x	in	0	xìn	1
㗕	k	rv	2	kӑv	1
㗖	d	am	2	dam	0
㗗	p	i	1	pí	1
㗘	p	og	3	pok	1
㗙	ṭx	o	0	ṭxò	1
㗚	l	on	3	lot	1
㗛	s	iv	2	siv	1
㗜	ṭx	rv	2	ṭxӑv	0
㗝	k	u	0	kù	0
㗞	px	o	2	pxo	0
㗟	ṭ	y	2	ṭy	0
㗠	ṭx	ej	1	ṭxéj	0
㗡		ig	0	ìg	0
㗢	h	ug	0	hùg	3
㗣	tx	rj	2	txӑj	0
㗤	ŧ	ug	3	ŧuk	1
㗥	kxv	og	3	kxvok	0
㗦	l	u	0	lù	1
㗧	ṭ	rn	3	ṭӑt	2
㗨	x	aj	0	xàj	1
㗩	s	rm	3	sӑp	1
㗪	px	ej	0	pxèj	0
㗫	ŧx	in	3	ŧxit	1
㗬	ṭ	a	0	ṭà	1
㗭	ṣ	ig	3	ṣik	0
㗮	k	rg	0	kằg	0
㗯	ṭ	e	1	ṭé	0
㗰	ḍ	ug	0	ḍùg	0
㗱	đ	am	3	đap	1
㗲	qv	ag	3	qvak	1
㗳	t	rm	3	tӑp	0
㗴	g	an	0	gàn	1
㗵	xv	rn	3	xvӑt	1
㗶	px	un	3	pxut	0
㗷	ṭx	oj	2	ṭxoj	0
㗸	h	am	0	hàm	0
㗹	v	ej	0	vèj	0
㗺	ṣ	am	3	ṣap	0
㗻	c	o	2	co	2
㗼	g	im	3	gip	1
㗽	x	ơg	1	xớg	0
㗾	x	ơ	0	xờ	1
㗾	h	ơ	0	hờ	1
㗿	x	o	0	xò	3
㘀	ŧ	og	3	ŧok	2
㘁		ig	3	ik	1
㘂	ḍ	ej	0	ḍèj	0
㘃	j	e	1	jé	0
㘄	ql	rg	0	qlằg	0
㘅	h	am	0	hàm	0
㘆	tx	oj	1	txój	1
㘇	v	ig	0	vìg	0
㘈	g	ig	3	gik	2
㘉	ṭ	ig	3	ṭik	1
㘉	ṭ	in	3	ṭit	1
㘊	kx	rm	3	kxӑp	0
㘋	h	in	0	hìn	2
㘌	cx	ơg	3	cxơk	1
㘍	ŧ	rn	3	ŧӑt	1
㘏	d	u	2	du	0
㘐	px	av	2	pxav	0
㘑	l	rj	2	lӑj	0
㘒	ṭ	ug	1	ṭúg	0
㘓	l	an	0	làn	1
㘔	ṭx	oj	2	ṭxoj	0
㘕	x	am	2	xam	0
㘖	g	an	0	gàn	0
㘗	kx	ơj	0	kxờj	0
㘘	ql	yn	1	qlýn	0
㘙	g	am	0	gàm	1
㘚	x	am	2	xam	0
㘚	x	am	1	xám	0
㘛	x	rm	0	xằm	0
㘜	ḍ	rv	0	ḍằv	0
㘝	n	am	3	nap	2
㘞	v	o	2	vo	0
㘟	ṭx	ơg	0	ṭxờg	0
㘠	p	ig	3	pik	1
㘡	h	am	3	hap	0
㘢	qv	rg	1	qvắg	0
㘣	ẓ	yn	0	ẓỳn	1
㘤	qv	an	0	qvàn	0
㘥	j	rv	0	jằv	1
㘥	g	o	0	gò	1
㘦	c	rn	0	cằn	0
㘧	ḍ	ơj	2	ḍơj	0
㘨	n	im	3	nip	1
㘩	b	ej	2	bej	0
㘪	x	u	2	xu	0
㘫	k	ig	1	kíg	0
㘬	q	av	2	qav	0
㘭	q	av	2	qav	0
㘭	q	av	0	qàv	0
㘮		ig	3	ik	0
㘯	ḍ	ơg	0	ḍờg	0
㘰	ṭ	rm	0	ṭằm	1
㘱	tx	an	0	txàn	1
㘲	k	ug	3	kuk	1
㘳	qj	rv	0	qjằv	0
㘴	ḍ	o	2	ḍo	0
㘵	p	u	2	pu	0
㘶	c	in	3	cit	0
㘷	g	aj	2	gaj	0
㘸	ṭ	og	2	ṭog	0
㘹	ḍ	ej	0	ḍèj	0
㘺	w	rn	3	wӑt	0
㘻	qj	rn	0	qjằn	1
㘼	x	av	1	xáv	0
㘽	ṭ	oj	0	ṭòj	0
㘾		y	1	ý	0
㘿	n	in	3	nit	0
㙀	l	rv	2	lӑv	1
㙁	m	uj	0	mùj	1
㙂	d	ơj	2	dơj	0
㙃	p	rg	0	pằg	0
㙄	b	rj	2	bӑj	1
㙅	p	u	1	pú	0
㙆	v	rg	0	vằg	0
㙇	ṭx	ug	3	ṭxuk	1
㙈	x	a	2	xa	0
㙉	tx	in	1	txín	0
㙊	ḍ	ơg	0	ḍờg	1
㙋	k	ej	0	kèj	0
㙌	ṣ	ug	3	ṣuk	0
㙍	ṭ	ơj	2	ṭơj	0
㙎	qv	ej	0	qvèj	0
㙏	fx	ug	3	fxuk	1
㙐	t	o	1	tó	0
㙑		y	1	ý	0
㙒	j	e	1	jé	0
㙓	cv	ej	0	cvèj	0
㙔	v	ej	1	véj	0
㙕	f	aj	2	faj	0
㙖		y	1	ý	0
㙗	q	uj	0	qùj	0
㙘	q	iv	0	qìv	0
㙙	l	ug	1	lúg	1
㙚	ṣ	ig	0	ṣìg	0
㙛	p	u	1	pú	0
㙜	kx	og	3	kxok	0
㙝	x	im	3	xip	0
㙞	g	rn	3	gӑt	0
㙟	l	og	1	lóg	0
㙠	q	rj	0	qằj	2
㙡	ṭ	ug	0	ṭùg	0
㙢	m	un	0	mùn	0
㙣	ṭ	ơg	2	ṭơg	0
㙤	ql	a	2	qla	1
㙥	kv	rn	2	kvӑn	0
㙦	ḍ	e	0	ḍè	0
㙧	l	rv	2	lӑv	0
㙨	k	i	0	kì	1
㙩	l	iv	0	lìv	2
㙪	q	rj	2	qӑj	2
㙫	ṭx	rm	3	ṭxӑp	0
㙬	g	rn	0	gằn	0
㙭	kx	yn	3	kxyt	0
㙮	t	am	3	tap	0
㙯	g	rj	2	gӑj	0
㙰	h	aj	1	háj	0
㙱	k	u	1	kú	1
㙲	qj	ug	0	qjùg	1
㙳	x	rm	1	xắm	0
㙴	ṭx	im	2	ṭxim	1
㙵	d	oj	0	dòj	0
㙶	d	og	0	dòg	0
㙷	ḍ	am	3	ḍap	2
㙸	px	og	3	pxok	0
㙹	m	ug	2	mug	0
㙺	cv	ej	0	cvèj	0
㙻	ḍ	in	0	ḍìn	1
㙼	l	ơj	1	lớj	0
㙽	ṣ	ig	3	ṣik	0
㙾	h	og	3	hok	0
㙿	x	ej	0	xèj	0
㚀	x	i	0	xì	1
㚁	kx	iv	2	kxiv	1
㚂	n	og	2	nog	1
㚃	qv	rn	0	qvằn	1
㚄	ṭ	ej	2	ṭej	0
㚅	l	ug	0	lùg	1
㚆	w	ug	3	wuk	0
㚇	ŧ	ug	0	ŧùg	2
㚈	g	oj	2	goj	0
㚉	k	u	1	kú	0
㚊	x	oj	0	xòj	1
㚋	t	iv	0	tìv	1
㚌	f	o	1	fó	0
㚍	xv	uj	1	xvúj	1
㚎	x	ơj	2	xơj	0
㚏	k	u	1	kú	0
㚐	tx	u	2	txu	0
㚑	l	ig	0	lìg	0
㚒	ṣ	im	1	ṣím	2
㚓	l	oj	0	lòj	0
㚔	n	im	3	nip	1
㚕	b	rn	3	bӑt	0
㚖	k	u	1	kú	2
㚗	đ	e	0	đè	1
㚘	b	un	2	bun	1
㚙	k	a	0	kà	0
㚚	kxv	rg	0	kxvằg	0
㚛	x	rj	2	xӑj	1
㚜	v	ig	3	vik	1
㚝	ṭ	ơj	0	ṭờj	0
㚞	ṣ	rm	1	ṣắm	0
㚟	ṭx	ơg	3	ṭxơk	0
㚠	x	iv	0	xìv	2
㚡	k	ej	1	kéj	0
㚢	n	u	0	nù	1
㚣	k	av	1	káv	0
㚤		ig	3	ik	1
㚥	q	y	0	qỳ	0
㚦	k	ej	0	kèj	0
㚧	ṭx	im	0	ṭxìm	0
㚨	ṣ	rn	0	ṣằn	0
㚩		im	1	ím	0
㚪	x	u	2	xu	0
㚫	s	am	3	sap	1
㚬	kv	rn	0	kvằn	0
㚭	j	rv	0	jằv	0
㚮	t	am	0	tàm	0
㚰	px	uj	0	pxùj	0
㚱	qj	rv	0	qjằv	0
㚲	ṭx	im	0	ṭxìm	2
㚳	q	a	2	qa	0
㚴	px	u	2	pxu	0
㚵	t	ug	0	tùg	0
㚶	ḍ	ej	1	ḍéj	0
㚷	n	aj	1	náj	1
㚸	ṣ	ej	0	ṣèj	0
㚹	m	av	0	màv	0
㚺	j	rn	2	jӑn	0
㚻	k	rj	0	kằj	0
㚼	qn	rv	1	qnắv	0
㚽	x	av	1	xáv	0
㚾	x	ig	0	xìg	0
㚿	p	av	0	pàv	0
㛁	px	ag	0	pxàg	1
㛂	n	o	0	nò	2
㛃	k	in	3	kit	0
㛄	q	i	0	qì	1
㛅	n	i	2	ni	1
㛆	t	o	2	to	1
㛇	ṭ	og	0	ṭòg	0
㛈	x	av	1	xáv	0
㛉	q	iv	2	qiv	0
㛊	t	o	2	to	0
㛋	n	ej	1	néj	0
㛌	m	rv	0	mằv	0
㛍	x	im	3	xip	3
㛎	l	ơj	1	lớj	0
㛏	c	rv	0	cằv	0
㛐	s	u	1	sú	1
㛑	ŧx	an	2	ŧxan	1
㛒	d	rv	2	dӑv	1
㛓	x	ej	0	xèj	0
㛔	f	ug	0	fùg	0
㛕	qj	rm	3	qjӑp	0
㛖	ṣ	o	0	ṣò	0
㛗	ŧx	e	0	ŧxè	2
㛘	px	un	3	pxut	1
㛙	ṣ	rn	0	ṣằn	0
㛚	tx	ug	1	txúg	0
㛛	ṣ	rn	0	ṣằn	0
㛜	j	rv	0	jằv	0
㛝	p	uj	2	puj	0
㛞	l	ug	2	lug	0
㛟		un	2	un	0
㛡	v	rn	2	vӑn	0
㛢	ṣ	rv	2	ṣӑv	0
㛥	tx	am	3	txap	1
㛦	l	rm	1	lắm	0
㛧	m	rn	1	mắn	1
㛨	kx	ơg	1	kxớg	0
㛩	ḍ	ug	3	ḍuk	0
㛪	q	im	2	qim	1
㛫	ṣ	ig	3	ṣik	0
㛬	l	ug	3	luk	0
㛭	ṣ	ig	3	ṣik	0
㛮	s	u	1	sú	1
㛯	f	an	2	fan	0
㛰	f	rn	0	fằn	0
㛱	q	uj	1	qúj	1
㛲	f	an	3	fat	0
㛳	j	rj	2	jӑj	1
㛴	n	u	1	nú	1
㛵	ṭx	ig	0	ṭxìg	0
㛶	tx	an	2	txan	1
㛷	k	rj	0	kằj	0
㛸	ẓ	y	2	ẓy	0
㛹	b	in	0	bìn	1
㛺	qj	rm	0	qjằm	0
㛻	qv	aj	0	qvàj	0
㛼	ṭx	am	3	ṭxap	1
㛽	ṣ	an	0	ṣàn	0
㛾	h	am	0	hàm	0
㜀	ṣ	ơg	0	ṣờg	0
㜁	ḍ	a	0	ḍà	0
㜂	f	ug	0	fùg	0
㜃	ql	yn	1	qlýn	0
㜄	ḍ	rm	0	ḍằm	0
㜅	x	ug	3	xuk	1
㜆	m	rj	2	mӑj	0
㜇	qv	i	2	qvi	1
㜈	m	ug	3	muk	0
